TABELA: DB2DPR.TRM
TS....: S1DPR001
========================================================================
:Todos os termos Natureza
------------------------------------------------------------------------
ANO                           AA   |S <-- NATUREZA
BLOB                          BL   |S <-- NATUREZA
CODIGO                        CD   |S <-- NATUREZA
DATA                          DT   |S <-- NATUREZA
DIA                           DD   |S <-- NATUREZA
DIGITO VERIFICADOR            DV   |S <-- NATUREZA
GEOMETRIA                     GEM  |S <-- NATUREZA
HORA                          HH   |S <-- NATUREZA
HORARIO                       HR   |S <-- NATUREZA
IMAGEM                        IM   |S <-- NATUREZA
INDICADOR                     IN   |S <-- NATUREZA
INDICE                        IC   |S <-- NATUREZA
LINHA                         LNH  |S <-- NATUREZA
LISTA                         LS   |S <-- NATUREZA
MES                           MM   |S <-- NATUREZA
NOME                          NM   |S <-- NATUREZA
NUMERO                        NR   |S <-- NATUREZA
PERCENTUAL                    PC   |S <-- NATUREZA
POLIGONO                      PLGN |S <-- NATUREZA
PONTO                         PTO  |S <-- NATUREZA
QUANTIDADE                    QT   |S <-- NATUREZA
ROWID                         RI   |S <-- NATUREZA
SIGLA                         SG   |S <-- NATUREZA
SIMBOLO                       SB   |S <-- NATUREZA
SOM                           SM   |S <-- NATUREZA
TEXTO                         TX   |S <-- NATUREZA
TIMESTAMP                     TS   |S <-- NATUREZA
VALOR                         VL   |S <-- NATUREZA
========================================================================
:Glossário
------------------------------------------------------------------------
A GRANEL                      GRAN |N
A LIBERAR                     ALIB |N
A PAGAR                       APGR |N
A REALIZAR                    ARLZ |N
A VENCER                           |N
A VISTA                       AV   |N
ABAIXO                        ABXO |N
ABANDONADO                    ABDD |N
ABASTECER                     ABSR |N
ABASTECIDO                    ABSD |N
ABASTECIMENTO                 ABST |N
ABATE                         ABT  |N
ABATER                        ABTE |N
ABATIDO                            |N
ABATIMENTO                    ABTT |N
ABEND                         ABN  |N
ABERTO                        ABTO |N
ABERTURA                      ABTR |N
ABONO                         ABON |N
ABORDAGEM                     ABDG |N
ABORDAR                       ABDR |N
ABRANGENCIA                   ABGC |N
ABRANGENTE                    ABGT |N
ABRANGER                      ABGR |N
ABRANGIDO                     ABGD |N
ABREVIADO                     ABVD |N
ABREVIAR                      ABV  |N
ABREVIATURA                   ABVR |N
ABRIL                         ABRL |N
ABRIR                         ABRR |N
ABSCISSA                      ABSC |N
ABSORCAO                      ABR  |N
ABSORVEDOR                    ABRV |N
ABSORVIDO                     ABRD |N
ABSTRACAO                     ABS  |N
ACADEMICO                     ACDM |N
ACAO                          ACAO |N
ACAO JUDICIAL                 ACJD |N
ACAO ORDINARIA                ACOR |N
ACAO PREFERENCIAL             ACPR |N
ACATADO                            |N
ACATAR                             |N
ACCRUAL                       ACCR |N
ACEITACAO                     ACTC |N
ACEITAR                       ACTR |N
ACEITE                        ACTE |N
ACEITO                        ACT  |N
ACERTO                             |N
ACESSADO                      ACSD |N
ACESSAR                       ACS  |N
ACESSO                        ACSS |N
ACESSORIO                     ACSR |N
ACIDENTE                      ACD  |N
ACIMA                         ACI  |N
ACIONADO                      ACND |N
ACIONAMENTO                   ACMT |N
ACIONAR                       ACAR |N
ACIONARIO                     ACNR |N
ACIONISTA                     ACNT |N
ACKNOWLEDGEMENT               ACKL |N
ACOLHEDOR                     ACLD |N
ACOLHER                       ACLR |N
ACOLHIDO                      ACL  |N
ACOLHIMENTO                   ACLT |N
ACOMODAR                           |N
ACOMPANHAMENTO                ACPT |N
ACOMPANHANTE                  ACPN |N
ACOMPANHAR                    ACP  |N
ACONDICIONADO                 ACDD |N
ACONDICIONAMENTO              ACDC |N
ACONDICIONAR                  ACDR |N
ACONTECIDO                         |N
ACONTECIMENTO                      |N
ACORDO                        ACRD |N
ACORDO DE BASILEIA            ACBS |N
ACRESCIMO                          |N
ACUMULACAO                    ACMC |N
ACUMULADO                     ACM  |N
ACUMULADOR                    ACR  |N
ADABAS                        ADA  |N
ADAPTACAO                     ADT  |N
ADAPTADO                      ADTO |N
ADAPTAR                       ADTR |N
ADERIR                        ADRR |N
ADESAO                        ADSO |N
ADIADO                             |N
ADIAMENTO                          |N
ADIANTAMENTO                  ADTT |N
ADIAR                              |N
ADICAO                        ADI  |N
ADICIONADO                    ADCD |N
ADICIONAL                     ADC  |N
ADIMPLENCIA                   ADPC |N
ADIMPLENTE                    ADPT |N
ADITAR                        ADIT |N
ADITIVO                            |N
ADITIVO CONTRATUAL            ADCT |N
ADMINISTRACAO                 ADMC |N
ADMINISTRADOR                 ADM  |N
ADMINISTRAR                   ADMR |N
ADMINISTRATIVO                ADMO |N
ADMISSAO                      ADS  |N
ADMITIDO                      ADTD |N
ADOLESCENTE                   ADLT |N
ADOTAR                             |N
ADQUIRENTE                    ADTE |N
ADQUIRIDO                     ADQ  |N
ADQUIRIR                      ADQR |N
ADUANEIRO                     AUNO |N
ADULTO                        ADU  |N
ADVOGADO                      ADV  |N
AEREO                         AER  |N
AERONAVE                      ARNV |N
AEROPORTO                     ARPT |N
AEROPORTUARIO                 ARPR |N
AFASTADO                           |N
AFASTAMENTO                   AFT  |N
AFASTAR                       AFTR |N
AFETADO                            |N
AFETAR                             |N
AFILIADO                           |N
AFINIDADE                     AFIN |N
AFIRMAR                            |N
AFIRMATIVO                    AFRM |N
AGENCIA                       AG   |N
AGENCIA-TRONCO                AGTC |N
AGENDA                        AGDA |N
AGENDADO                      AGDD |N
AGENDAMENTO                   AGDT |N
AGENDAR                       AGD  |N
AGENTE                        AGT  |N
AGIO                          AGIO |N
AGOSTO                        AGOS |N
AGRAVO                        AGRA |N
AGREGADO                      AGRD |N
AGREGAR                       AGRR |N
AGREGAVEL                     AGRV |N
AGRICOLA                      AGRL |N
AGRICULTURA                   AGR  seN
AGRONEGOCIO                   ANEG |N
AGRONOMIA                     AGN  |N
AGRONOMO                      AGNM |N
AGROPECUARIO                  AGRP |N
AGRUPADO                      AGPD |N
AGRUPADOR                     AGPR |N
AGRUPAMENTO                   AGPT |N
AGRUPAR                       AGPA |N
AGUA                          AGUA |N
AJUDA                         AJD  |N
AJUIZADO                      AJZD |N
AJUIZAMENTO                   AJZT |N
AJUIZAR                       AJZ  |N
AJUSTADO                      AJSD |N
AJUSTE                        AJST |N
ALARME                        ALR  |N
ALAVANCAGEM                   ALVG |N
ALCADA                        ALC  |N
ALCANCADO                          |N
ALEATORIO                     ALET |N
ALEGACAO                      ALGC |N
ALEM                               |N
ALERTA                             |N
ALFANDEGARIO                       |N
ALFANUMERICO                  ANRC |N
ALGORITMO                     AGRM |N
ALIENACAO                     ALN  |N
ALIENADO                      ALND |N
ALIENAR                       ALNR |N
ALIMENTACAO                   ALM  |N
ALIMENTADO                    AMND |N
ALIMENTAR                     AMNR |N
ALIMENTO                      AMN  |N
ALINEA                        ALIN |N
ALINHADO                      ALD  |N
ALINHAMENTO                   ALMT |N
ALINHAR                       ALHR |N
ALIQUOTA                           |N
ALIVIO                             |N
ALIVIO DE NUMERARIO           ALNM |N
ALMOXARIFADO                  AMX  |N
ALOCACAO                      ALCC |N
ALOCADO                       ALCD |N
ALOCADOR                      ALCO |N
ALOCAR                        ALCR |N
ALONGADO                      ALGD |N
ALTA CAPCIDADE                ATCP |N
ALTERACAO                     ALT  |N
ALTERADO                      ALTD |N
ALTERADOR                     ALTO |N
ALTERAR                       ALTR |N
ALTERNATIVA                   ATNT |N
ALTERNATIVO                   ATNV |N
ALTITUDE                      ALTT |N
ALTO                               |N
ALTURA                        H    |N
ALUGUEL                            |N
ALUNO                         ALU  |N
ALVARA                        ALVR |N
ALVO                          ALVO |N
AMBIENTE                      AMB  |N
AMEACA                        AMC  |N
AMERICANEXPRESS               AMEX |N
AMERICANO                     AMER |N
AMORTIZACAO                   AMTZ |N
AMORTIZADO                    AMZD |N
AMORTIZAR                     AMTR |N
AMOSTRA                       AMS  |N
AMOSTRAGEM                    AMSG |N
AMPARADO                      AMPD |N
AMPARAVEL                     AMPV |N
AMPARO                        AMP  |N
AMPLO                              |N
ANALISADO                     ANLD |N
ANALISAR                      ANLR |N
ANALISE                       ANL  |N
ANALISE DE SENSIBILIDADE      ANLS |N
ANALISTA                      ANLT |N
ANALITICO                     ANA  |N
ANALOGICO                     ANLG |N
ANALOGO                            |N
ANBI                               |N
ANBID                              |N
ANBIMA                        ANBI |N
ANDAMENTO                     ADMT |N
ANDAR                         ADAR |N
ANEXACAO                      ANXC |N
ANEXADO                       ANXD |N
